test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test0,EAECBS_L2_HEURISTIC,2,1.16071,5.91667,2,4,117,-1,1.3,1.3,55,26269,from ready_pose to left_push,2024-10-30T00:31:34
test1,EAECBS_L2_HEURISTIC,2,2.87524,5.70723,0,0,129,-1,1.3,1.3,55,25157,from ready_pose to right_push,2024-10-30T00:31:43
test2,EAECBS_L2_HEURISTIC,2,0.296286,3.40339,0,0,19,-1,1.3,1.3,55,5578,from ready_pose to left_push_up,2024-10-30T00:31:52
test3,EAECBS_L2_HEURISTIC,2,0.304595,3.40339,0,0,19,-1,1.3,1.3,55,5669,from ready_pose to right_push_up,2024-10-30T00:32:01
test4,EAECBS_L2_HEURISTIC,2,0.247543,3.76991,0,0,23,-1,1.3,1.3,55,6869,from ready_pose to left_rotated,2024-10-30T00:32:09
test5,EAECBS_L2_HEURISTIC,2,0.255008,3.89208,0,0,24,-1,1.3,1.3,55,7063,from ready_pose to right_rotated,2024-10-30T00:32:18
test6,EAECBS_L2_HEURISTIC,2,0.343996,4.43314,0,0,22,-1,1.3,1.3,55,6436,from ready_pose to random1,2024-10-30T00:32:26
test7,EAECBS_L2_HEURISTIC,2,0.304536,4.43314,0,0,22,-1,1.3,1.3,55,6488,from ready_pose to random2,2024-10-30T00:32:34
test8,EAECBS_L2_HEURISTIC,2,0.0737038,4.62512,0,0,14,-1,1.3,1.3,55,4181,from ready_pose to random3,2024-10-30T00:32:43
test9,EAECBS_L2_HEURISTIC,2,0.0743552,4.62512,0,0,14,-1,1.3,1.3,55,4157,from ready_pose to random4,2024-10-30T00:32:51
test10,EAECBS_L2_HEURISTIC,2,0.673427,10.9258,0,0,64,-1,1.3,1.3,55,18746,from ready_pose to random5,2024-10-30T00:33:00
test11,EAECBS_L2_HEURISTIC,2,0.626294,10.9258,0,0,61,-1,1.3,1.3,55,17737,from ready_pose to random6,2024-10-30T00:33:09
test12,EAECBS_L2_HEURISTIC,2,1.63898,7.88889,2,4,103,-1,1.3,1.3,55,28609,from ready_pose to left_push_down,2024-10-30T00:33:19
test13,EAECBS_L2_HEURISTIC,2,0.603432,7.53982,1,2,61,-1,1.3,1.3,55,16845,from ready_pose to right_push_down,2024-10-30T00:33:28
test14,EAECBS_L2_HEURISTIC,2,0.334167,9.16298,0,0,46,-1,1.3,1.3,55,13523,from ready_pose to left_forward,2024-10-30T00:33:36
test15,EAECBS_L2_HEURISTIC,2,0.332544,9.16298,0,0,46,-1,1.3,1.3,55,13420,from ready_pose to right_forward,2024-10-30T00:33:45
test16,EAECBS_L2_HEURISTIC,2,0.440769,5.91667,0,0,31,-1,1.3,1.3,55,9094,from left_push to ready_pose,2024-10-30T00:33:54
test17,EAECBS_L2_HEURISTIC,2,60.012,inf,0,1658,5263,-1,1.3,1.3,55,880870,from left_push to right_push,2024-10-30T00:35:02
test18,EAECBS_L2_HEURISTIC,2,0.232909,4.01426,0,0,18,-1,1.3,1.3,55,5314,from left_push to left_push_up,2024-10-30T00:35:09
test19,EAECBS_L2_HEURISTIC,2,3.62614,6.8766,1,2,539,-1,1.3,1.3,55,58947,from left_push to right_push_up,2024-10-30T00:35:21
test20,EAECBS_L2_HEURISTIC,2,0.659375,8.67429,0,0,50,-1,1.3,1.3,55,14570,from left_push to left_rotated,2024-10-30T00:35:30
test21,EAECBS_L2_HEURISTIC,2,0.344197,6.10865,0,0,35,-1,1.3,1.3,55,10253,from left_push to right_rotated,2024-10-30T00:35:39
test22,EAECBS_L2_HEURISTIC,2,0.392833,6.05629,0,0,29,-1,1.3,1.3,55,8502,from left_push to random1,2024-10-30T00:35:48
